sheet,row,name,country,sector,website_score,website_url
CI Assessment,4,Amsterdam–Plymouth–Banjul Rally,The Gambia,Festivals and cultural events,9.0,(empty)
CI Assessment,8,Bakau Women's Garden,The Gambia,Fashion & Design,6.0,(empty)
CI Assessment,18,Fashion Weekend Gambia,The Gambia,Fashion & Design,9.0,(empty)
CI Assessment,34,Janjanbureh Kankurang Festival,The Gambia,Festivals and cultural events,8.0,(empty)
CI Assessment,36,Kartong Festival (Kartong Cultural Festival),The Gambia,Festivals and cultural events,6.0,(empty)
CI Assessment,37,Kerr Fatou,The Gambia,"Audiovisual (film, photography, TV, videography)",10.0,(empty)
CI Assessment,40,My Gambia (online magazine),The Gambia,Marketing/advertising/publishing,10.0,(empty)
CI Assessment,41,National Centre for Arts and Culture (NCAC),The Gambia,Performing and visual arts,6.0,(empty)
CI Assessment,43,Ninki Nanka Trail,The Gambia,Cultural heritage sites/museums,9.0,(empty)
CI Assessment,45,Paradise TV,The Gambia,"Audiovisual (film, photography, TV, videography)",10.0,(empty)
CI Assessment,47,QTV Gambia,The Gambia,"Audiovisual (film, photography, TV, videography)",10.0,(empty)
CI Assessment,48,Sawallo Couture,The Gambia,Fashion & Design,9.0,(empty)
CI Assessment,49,Serrekunda (Senegambia) Craft Market,The Gambia,Crafts and artisan products,7.0,(empty)
CI Assessment,55,The Fatu Network,The Gambia,"Audiovisual (film, photography, TV, videography)",8.0,(empty)
CI Assessment,57,Tunbung Art Village,The Gambia,Performing and visual arts,7.0,(empty)
CI Assessment,58,Visual Arts Association of The Gambia (VAAG),The Gambia,Performing and visual arts,6.0,(empty)
CI Assessment,60,West Coast Radio,The Gambia,"Audiovisual (film, photography, TV, videography)",6.0,(empty)
CI Assessment,61,What’s On – Gambia,The Gambia,"Audiovisual (film, photography, TV, videography)",9.0,(empty)
TO Assessment,2,West African Tours,The Gambia,Tour Operator,7.0,(empty)
TO Assessment,4,Fatou Tours,The Gambia,Tour Operator,9.0,(empty)
TO Assessment,5,Arch Tours,The Gambia,Tour Operator,6.0,(empty)
TO Assessment,8,Janeya Tours,The Gambia,Tour Operator,8.0,(empty)
TO Assessment,9,African Adventure Tours,The Gambia,Tour Operator,8.0,(empty)
TO Assessment,11,Omi Tours,The Gambia,Tour Operator,8.0,(empty)
TO Assessment,12,Simon Tours,The Gambia,Tour Operator,8.0,(empty)
TO Assessment,13,Senegambia Birding,The Gambia,Tour Operator,10.0,(empty)
TO Assessment,14,Santosu Tours,The Gambia,Tour Operator,7.0,(empty)
TO Assessment,16,Black & White Safari,The Gambia,Tour Operator,7.0,(empty)
TO Assessment,17,Kawsu Tours,The Gambia,Tour Operator,7.0,(empty)
TO Assessment,18,Gambia Tours,The Gambia,Tour Operator,8.0,(empty)
TO Assessment,20,Alkamba Tours,The Gambia,Tour Operator,7.0,(empty)
Regional Assessment,177,Abuja Arts & Craft Village,Nigeria,Crafts and artisan products,7.0,(empty)
