stakeholder_name,industry,total_reviews,average_rating,overall_sentiment,positive_rate,language_diversity,analysis_date,service_quality_score,service_quality_mentions,educational_value_score,educational_value_mentions,value_pricing_score,value_pricing_mentions,artistic_creative_quality_score,artistic_creative_quality_mentions,authenticity_culture_score,authenticity_culture_mentions,infrastructure_score,infrastructure_mentions,ferry_service_score,ferry_service_mentions,english_reviews,dutch_reviews,german_reviews,spanish_reviews,french_reviews,critical_areas_count,management_response_rate,top_strength,top_weakness
timo_tours_gambia,tour_operators,12,4.4,0.601,73.3,1,2025-09-24 09:06:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.0,none,none
simon_tours,tour_operators,108,4.8,0.639,88.5,1,2025-09-24 09:06:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,3.7037037037037033,none,none
janeya_tours,tour_operators,73,4.8,0.588,87.2,1,2025-09-24 09:06:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,1.36986301369863,none,none
bushwhacker_tours,tour_operators,170,4.9,0.622,90.7,1,2025-09-24 09:06:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,2.941176470588235,none,none
kawsu_tours,tour_operators,18,4.8,0.812,100.0,1,2025-09-24 09:06:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0.0,none,none
arch_tours,tour_operators,300,4.8,0.59,85.3,1,2025-09-24 09:06:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,1,2.666666666666667,none,none
senegambia_birding,tour_operators,2,5.0,0.55,100.0,1,2025-09-24 09:06:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,none,none
fatou_tours,tour_operators,19,4.9,0.606,85.7,1,2025-09-24 09:06:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0.0,none,none
lams_tours,tour_operators,128,4.9,0.591,84.5,1,2025-09-24 09:06:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,1,2.34375,none,none
black_white_safari,tour_operators,300,4.9,0.64,90.6,1,2025-09-24 09:06:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,4.333333333333334,none,none
omi_tours,tour_operators,31,4.7,0.773,95.2,1,2025-09-24 09:06:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,3.225806451612903,none,none
african_adventure_tours,tour_operators,32,4.2,0.703,89.2,1,2025-09-24 09:06:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,1,3.125,none,none
aji_tours,tour_operators,33,4.7,0.742,91.4,1,2025-09-24 09:06:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,1,3.0303030303030303,none,none
eco_tours,tour_operators,19,4.5,0.57,85.0,1,2025-09-24 09:06:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0.0,none,none
santosu_tours,tour_operators,25,5.0,0.619,90.9,1,2025-09-24 09:06:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0.0,none,none
